"","ottaID","C1.MES","C2.IMM","C4.DIF","C5.PRO"
"83","TAOC00684",0.214405225904414,0.11121092615095,0.166723237824349,0.507660610120287
"84","TAOC00715",0.266818411568279,0.290519182768751,0.205800323832424,0.236862081830546
"85","TAOC00737",0.496814264211334,0.18856937400008,0.125775880344503,0.188840481444083
"86","TAOC00741",0.304567372664727,0.256167577749742,0.256957874454923,0.182307175130609
"87","TAOC00749",0.17527800416546,0.276078133929277,0.20467566062129,0.343968201283973
"88","TAOC00778",0.483669404333908,0.138056249251191,0.0974591048772705,0.28081524153763
"89","TAOC00790",0.0460682264737426,0.52881820464792,0.318192049654734,0.106921519223603
"90","TAOC00792",0.333645883075626,0.282886089598176,0.149841947308014,0.233626080018183
"91","TAOC00801",0.325046393065361,0.309506138503725,0.171434012477226,0.194013455953688
"92","TAOC00802",0.487179661323214,0.202674307495291,0.0977542379085706,0.212391793272924
"93","TAOC00803",0.511905037581138,0.136364530678479,0.103170940886595,0.248559490853788
"94","TAOC00815",0.140547076679276,0.366767542441221,0.307267405292169,0.185417975587334
"95","TAOC00823",0.256437114319202,0.257200759962436,0.28282462574449,0.203537499973871
"96","TAOC00832",0.244534101916193,0.411755134121173,0.0790639571800198,0.264646806782614
"97","TAOC00853",0.207840667258396,0.280729884202693,0.287443404098312,0.2239860444406
"98","TAOC00863",0.299568689602946,0.354362047779294,0.13013324453275,0.21593601808501
"99","TAOC00877",0.0981646593082834,0.295267995762511,0.390805245197856,0.21576209973135
"100","TAOC00906",0.301566236415677,0.320814973144519,0.177491394405409,0.200127396034394
"101","TAOC00907",0.071216716750849,0.151875729453155,0.561641981091203,0.215265572704793
"102","TAOC00908",0.516444178425951,0.325869479152777,0.0685675879941597,0.0891187544271125
"103","TAOC00916",0.0477529510401029,0.15586288043172,0.28841364252806,0.507970526000117
"104","TAOC00917",0.519205145025382,0.247586853410441,0.0896740211582629,0.143533980405914
"105","TAOC00919",0.321929283811174,0.374408180235573,0.0986211533740252,0.205041382579228
"106","TAOC00954",0.0641657992824471,0.224545657669902,0.5360321902607,0.175256352786951
"107","TAOC00990",0.0539735694231086,0.424024538861743,0.316993936186337,0.205007955528811
"108","TAOC01015",0.12494078768225,0.288093988283634,0.380369968337857,0.206595255696258
"109","TAOC01038",0.482358579188065,0.3085257080812,0.101736246556239,0.107379466174496
"110","TAOC01054",0.475655046586976,0.28289278170182,0.0683096553830289,0.173142516328175
"111","TAOC01057",0.192379853888235,0.418338822119385,0.223941555252117,0.165339768740263
"112","TAOC01064",0.268953277805853,0.452020380468917,0.174607782811844,0.104418558913385
"113","TAOC01079",0.028709562782711,0.191290476834696,0.343083194024041,0.436916766358552
"114","TAOC01090",0.35103242042526,0.280573557461023,0.141428391633507,0.226965630480211
"115","TAOC01094",0.0808613079899862,0.189932265522093,0.518755578274349,0.210450848213572
"116","TAOC01146",0.0994675998996295,0.4279966880484,0.289407924328894,0.183127787723077
"117","TAOC01203",0.0283669205557674,0.15224841711071,0.657164085171011,0.162220577162511
"118","TAOC01205",0.483720589694985,0.280675599206859,0.106163531017996,0.129440280080159
"119","TAOC01208",0.0293455713025416,0.149871560762856,0.600017819294668,0.220765048639935
"120","TAOC01217",0.297081783475809,0.321195066063321,0.12888238630503,0.252840764155841
"121","TAOC01238",0.293598476497586,0.250459232656171,0.26267543414902,0.193266856697223
