Gene Name,Diff,Imm,Mes,Pro
ADAM11,1.5848,-1.8578,-3.323,3.5066
ADAM12,-5.82,-2.5742,24.5242,-7.9326
ADAM15,4.9562,2.1461,-4.4839,-1.9822
ADAM17,-3.4291,1.415,2.3157,-0.5403
ADAM18,1.0992,-1.0139,-2.2986,2.1657
ADAM19,-3.8639,2.0061,10.6756,-8.0316
ADAM2,0.5806,0.7,-2.8047,1.5091
ADAM20,-1.4851,-1.5418,1.4141,1.357
ADAM22,-4.3611,-0.8409,2.8529,1.7972
ADAM23,-0.0162,-2.1734,1.4187,0.6365
ADAM28,0.3264,1.925,0.2697,-2.3159
ADAM29,1.7512,0.5106,-1.5883,-0.479
ADAM30,1.36,0.4221,-1.8004,0.1417
ADAM5P,1.8047,1.1529,-2.0568,-0.6699
ADAM7,0.8699,0.4738,-1.6155,0.3456
ADAM8,-1.1085,6.7037,2.4229,-7.6863
ADAM9,-0.7104,0.444,6.7251,-6.167
ADAMDEC1,-5.9671,12.0517,3.0468,-7.8701
ADAMTS1,-0.3125,-1.5737,3.9734,-2.0353
ADAMTS12,-6.417,-4.4483,23.1195,-5.0189
ADAMTS13,2.3519,-0.4498,-2.4744,0.7184
ADAMTS2,-4.2612,-3.476,16.0813,-5.0428
ADAMTS3,-3.3279,-2.1698,-0.7822,5.85
ADAMTS5,-4.4245,-4.2522,8.7508,-0.0767
ADAMTS6,-3.3351,-3.3863,0.4762,5.713
ADAMTS7,-0.2782,-2.8339,1.6794,1.2091
ADAMTS8,1.9062,-1.8117,-3.0204,2.8794
ADAMTS9,-5.6503,-6.4882,6.6627,4.461
ADAMTSL2,-1.7217,-1.8136,3.7962,-0.4064
ADAMTSL3,-0.1076,-3.1998,8.3965,-4.5135
ADAR,0.0141,4.1044,-2.4764,-1.3357
ADARB1,1.4383,-3.6039,5.5967,-3.1985
ADARB2,0.8134,-2.3038,-3.1405,4.4852
ADAT1,-1.751,3.309,-0.0904,-1.3759
ADCK2,1.635,3.8761,-2.5675,-2.4884
ADCY1,-0.315,-3.3204,-1.3894,4.7487
ADCY2,1.2024,-4.1461,1.0639,1.6493
ADCY6,1.2745,-4.0816,0.837,1.7438
ADCY7,-1.6796,3.6475,5.0694,-6.9318
ADCY8,3.4134,-3.4107,-2.2253,2.2678
ADCY9,4.9603,-0.722,2.6091,-6.3526
ADCYAP1,2.6607,-0.108,-0.0789,-2.1479
ADCYAP1R1,2.6321,-2.3594,-5.0106,4.6403
ADD1,-3.6341,-1.5775,2.9049,1.8229
ADD2,-3.8812,-3.5065,0.629,6.1956
ADD3,0.5394,1.9024,-2.1845,-0.1261
ADFP,-7.1506,2.6655,2.3555,1.2235
ADH1A,-1.9242,-1.7492,5.9717,-2.2015
ADH1B,-3.9114,-1.3902,10.3986,-4.2755
ADH1C,-1.461,-1.0388,3.5215,-1.0967
ADH5,-4.7162,1.4072,1.0887,1.6913
ADH6,3.8413,-0.3328,-2.8149,-0.3227
ADH7,2.6059,-0.631,-2.1955,0.4071
ADI1,-0.1465,1.4,-3.2197,1.9029
ADIPOQ,-3.3314,-1.8748,10.0696,-4.0929
ADIPOR1,4.1609,0.6846,-2.8571,-1.4827
ADIPOR2,-3.0399,-1.403,-0.6722,4.6949
ADK,1.691,3.507,0.2957,-5.0909
ADM,-0.6022,1.0472,5.9433,-6.1705
ADM2,2.0845,1.4954,-2.3851,-0.9154
ADMR,3.2446,1.1109,-2.3813,-1.5575
ADNP,-4.4646,-4.5233,-0.2574,8.935
ADNP2,-1.9366,-0.5301,0.6289,1.5764
ADORA1,3.9494,-0.9876,-1.714,-0.8419
ADORA2A,-0.3494,3.5144,-1.26,-1.6604
ADORA2B,1.018,-1.2453,1.5407,-1.2274
ADORA3,-0.9692,9.2737,3.2312,-11.4797
ADPGK,-2.2828,4.9885,-0.6113,-1.8539
ADPRH,0.7095,2.0563,1.1923,-3.7093
ADRA1A,1.1744,-0.4635,-0.9906,0.3456
ADRA1B,0.378,-1.0714,1.9582,-1.2204
ADRA1D,2.7079,-0.338,-1.8035,-0.3165
ADRA2A,-2.4638,-4.7426,8.672,-1.2531
ADRA2B,0.3342,-1.4559,-3.1037,4.0657
ADRA2C,3.1297,1.7241,-1.8213,-2.5638
ADRB1,2.3794,-0.425,-1.3455,-0.3922
ADRB2,0.0857,4.6184,3.1172,-7.6939
ADRB3,1.8728,0.1437,-2.9747,1.0492
ADRBK1,1.8978,2.5739,-0.7179,-3.3574
ADRBK2,-2.6076,4.5925,1.2841,-3.0953
ADRM1,-2.058,0.0894,-0.8637,2.5611
ADSL,-4.7093,3.1323,0.6014,0.5978
ADSS,0.7283,1.5228,-1.3883,-0.7013
AEBP1,-6.5182,-4.683,23.5334,-4.9663
AES,3.5755,1.0353,-0.3388,-3.7738
AFAP1,-1.5672,-3.6198,10.5072,-4.2999
AFF1,1.6349,2.3261,2.1743,-5.888
AFF2,-1.2073,-2.7256,1.9933,1.6328
AFF3,1.6738,-2.5278,-1.3557,2.1446
AFF4,-0.7158,-0.9596,2.719,-1.0766
AFG3L2,0.9304,1.5422,-1.8355,-0.4709
AFM,0.2475,-0.9203,-1.8937,2.4527
AFP,0.0779,0.9137,-1.8391,0.85
AFTPH,2.9616,-0.2016,-2.0882,-0.3885
AGA,-2.1894,4.1114,0.5045,-2.2776
AGBL2,3.0445,-1.4728,-3.2453,1.7873
AGBL5,-1.728,-2.5561,-4.9488,9.3837
AGER,1.6767,-0.6669,-4.4623,3.3588
AGGF1,-2.7622,0.8657,-0.1211,1.725
AGK,1.6581,-0.4616,-3.048,1.869
AGL,1.619,-0.0656,-1.0046,-0.3915
AGPAT1,-0.0662,-1.3087,-1.8396,3.0484
AGPAT2,1.6417,-0.5947,3.5715,-4.3643
AGPAT3,3.4494,3.4278,1.0632,-7.6394
AGPAT4,-3.8661,-4.151,2.1349,5.185
AGPAT5,-0.3916,-0.1241,-1.6635,2.0578
AGPAT7,5.2201,1.1686,-1.8733,-3.7639
AGPS,-0.8519,4.6885,-0.9626,-2.5258
AGR2,3.2236,-2.2305,-2.5997,1.7216
AGRN,1.2842,-3.4638,0.2633,1.7542
AGRP,1.5881,0.163,-2.5814,0.9097
AGT,1.4142,-2.7363,-0.4521,1.6863
AGTPBP1,-2.0083,-1.0737,0.129,2.6333
AGTR1,-3.1556,-3.2161,10.4922,-3.2586
AGTR2,0.5811,-1.3656,-1.2563,1.9512
AGTRL1,-3.0918,-1.4366,11.4344,-5.5981
AGXT,2.3321,0.0604,-3.0358,0.7888
AGXT2L1,3.246,-0.2704,-1.7392,-0.8937
AHCTF1,0.3597,-1.1969,-1.7651,2.4856
AHCY,0.076,-1.5299,-4.1361,5.4121
AHCYL1,4.4563,2.713,-2.7222,-3.7494
AHDC1,0.4986,-2.3487,-0.7668,2.4537
AHI1,-0.3357,-0.9558,-1.7774,2.8989
AHNAK,4.5849,-0.2611,3.3634,-7.3362
AHNAK2,2.7938,-1.0759,5.0275,-6.4295
AHR,3.2106,2.5216,3.0531,-8.7315
AHSA1,0.089,0.477,-2.0568,1.4499
AHSG,1.3417,-1.7152,-3.0775,3.3563
AICDA,0.9288,0.6956,-1.671,0.1422
AIF1,-2.5846,10.4044,6.3397,-15.1541
AIFM1,3.3963,2.9475,-2.0227,-3.7396
AIM1,1.3451,4.3595,1.5323,-6.9382
AIM1L,0.4551,-1.4294,-2.5126,3.3473
AIM2,-3.5738,13.9031,0.9969,-9.1117
AIP,0.5037,0.112,0.0684,-0.6098
AIPL1,2.0593,-0.1727,-2.3694,0.6175
AIRE,2.559,0.1703,-2.8876,0.3555
AJAP1,-2.2491,-3.2825,3.6326,1.5034
AK1,2.3283,-2.2064,2.2587,-2.1819
AK2,1.787,6.1717,-1.9555,-5.2626
AK3L1,3.0421,1.2189,0.1259,-3.9488
AK5,-4.4475,-3.1719,15.994,-5.2984
AKAP1,2.9027,1.1324,-3.8576,0.0737
AKAP10,-3.4009,1.7672,2.4468,-1.0075
AKAP11,0.2597,-0.7243,2.8446,-2.2782
AKAP12,-2.0577,-2.6505,4.8595,-0.3245
AKAP13,-0.6407,-3.7688,7.0877,-2.4382
AKAP3,1.101,-0.8638,-2.8682,2.5705
AKAP4,0.9713,0.3991,-1.9177,0.6125
AKAP5,-2.9902,2.1043,0.7513,-0.0489
AKAP6,-0.5373,-0.9852,-1.5065,2.8433
AKAP7,-1.99,1.0538,-1.3705,2.0933
AKAP8,0.378,-0.5651,-3.707,3.7456
AKAP8L,0.1736,-2.0556,-4.7484,6.4863
AKAP9,2.6396,-2.5768,-0.7981,0.8138
AKR1A1,0.7062,4.9226,0.4362,-5.637
AKR1B1,-7.2326,0.7956,0.8821,4.4783
AKR1B10,0.1381,0.0943,-0.3592,0.137
AKR1C3,0.3639,-0.9337,-0.9039,1.4053
AKR1C4,0.0061,-0.1243,-1.9038,1.935
AKR1D1,1.3705,0.506,-1.8841,0.1342
AKR7A2,-0.9101,0.606,-0.6034,0.8205
AKR7A3,1.2936,-0.1104,-1.5719,0.4721
AKT1,2.2024,-0.6465,-0.6166,-0.7347
AKT2,-2.036,-0.4615,-2.214,4.4196
AKT3,-3.4682,0.5481,6.0294,-3.0725
AKTIP,-1.1678,1.3721,1.6935,-1.8588
ALAD,1.3083,-2.0561,1.5679,-0.7695
ALAS1,-0.3432,3.1518,-1.7004,-0.9249
ALAS2,1.0726,-0.5611,-1.6539,1.1574
ALB,0.5619,-0.2012,-0.4145,0.0895
ALCAM,0.0218,3.1795,1.7378,-4.6828
ALDH18A1,0.2863,-2.6564,1.3841,0.8365
ALDH1A1,-3.2344,-0.7223,2.0571,1.4997
ALDH1A2,-1.7532,-3.9059,2.6998,2.4943
ALDH1A3,-3.1804,-1.7578,14.9843,-7.5448
ALDH1B1,-1.6079,-0.0745,6.4308,-4.486
ALDH1L1,1.0349,-0.2651,-2.8238,2.0274
ALDH2,0.1309,3.165,1.2315,-4.2539
ALDH3A1,3.3693,-3.108,-4.712,4.4024
ALDH3A2,-0.5515,0.2192,-2.3837,2.5733
ALDH3B1,6.719,0.6677,-2.8199,-3.5472
ALDH3B2,3.895,1.6682,0.6989,-5.7822
ALDH4A1,0.6467,0.063,-2.8271,2.0682
ALDH5A1,2.0907,1.7076,-5.7242,1.886
ALDH6A1,1.4308,0.9429,-2.7275,0.4763
ALDH7A1,-1.4956,0.454,-0.1948,1.0792
ALDH8A1,0.6069,-0.5928,-0.0157,0.0264
